Date,Last Price,Volume,SMAVG (15)
2023-06-30,424.9,259349,224459.0
2023-06-29,422.4,155212,221546.0
2023-06-28,422.5,193808,228716.0
2023-06-27,425.9,206808,232108.0
2023-06-26,424.4,220502,237682.0
2023-06-23,424.8,157847,236949.0
2023-06-22,421.5,143398,243969.0
2023-06-21,421.6,214787,249451.0
2023-06-20,425.6,212871,324566.0
2023-06-19,428.3,178118,328728.0
2023-06-16,428.7,558190,331444.0
2023-06-15,428.0,196692,310029.0
2023-06-14,426.4,273150,323403.0
2023-06-13,425.3,196855,327818.0
2023-06-12,426.4,199305,337723.0
2023-06-09,426.8,215654,356840.0
2023-06-08,427.3,262759,375789.0
2023-06-07,430.1,244686,375981.0
2023-06-06,434.7,290416,375120.0
2023-06-05,431.7,209501,377928.0
2023-06-02,432.3,263156,384948.0
2023-06-01,429.0,225618,387429.0
2023-05-31,426.0,1341512,387608.0
2023-05-30,427.3,275305,315252.0
2023-05-26,425.6,218857,313964.0
2023-05-25,421.4,236962,322246.0
2023-05-24,423.1,397302,331031.0
2023-05-23,432.4,339375,323462.0
2023-05-22,428.6,345444,326960.0
2023-05-19,428.1,486059,323086.0
2023-05-17,418.5,499878,312922.0
2023-05-16,429.3,265638,304686.0
2023-05-15,430.3,231773,308111.0
2023-05-12,427.2,332537,322474.0
2023-05-11,426.8,314808,336457.0
2023-05-10,426.6,300364,342022.0
2023-05-09,432.5,228299,348101.0
2023-05-08,431.9,256180,361606.0
2023-05-05,429.4,255985,391722.0
2023-05-04,425.2,343090,404023.0
2023-05-03,428.5,368732,438987.0
2023-05-02,425.2,283770,461737.0
2023-04-28,431.8,391844,476620.0
2023-04-27,425.2,287336,476324.0
2023-04-26,426.4,333603,482026.0
2023-04-25,429.0,376331,497273.0
2023-04-24,433.2,317008,494427.0
2023-04-21,431.0,447221,494920.0
2023-04-20,433.1,542286,489534.0
2023-04-19,427.1,398276,476033.0
2023-04-18,419.3,391555,475098.0
2023-04-17,416.5,430878,485033.0
2023-04-14,421.7,707920,483352.0
2023-04-13,427.5,440497,458748.0
2023-04-12,432.8,867554,460218.0
2023-04-11,457.9,709970,446313.0
2023-04-06,452.1,507022,464871.0
2023-04-05,443.5,387403,476630.0
2023-04-04,440.1,372862,500784.0
2023-04-03,436.9,562306,516893.0
2023-03-31,437.7,333644,514041.0
2023-03-30,436.2,324412,523962.0
2023-03-29,431.4,366430,518810.0
2023-03-28,425.0,339764,513291.0
2023-03-27,421.4,384248,513753.0
2023-03-24,420.6,540591,505734.0
2023-03-23,418.3,405663,496388.0
2023-03-22,420.5,338861,485350.0
2023-03-21,422.1,462542,478079.0
2023-03-20,411.2,658984,469163.0
2023-03-17,401.5,988335,441913.0
2023-03-16,408.5,683407,390712.0
2023-03-15,400.0,749705,361264.0
2023-03-14,416.9,614501,327195.0
2023-03-13,423.2,519532,300587.0
2023-03-10,432.8,482462,280110.0
2023-03-09,446.6,247124,267276.0
2023-03-08,447.2,283640,271420.0
2023-03-07,443.8,346697,267597.0
2023-03-06,445.0,263969,260491.0
2023-03-03,441.9,400403,258876.0
2023-03-02,449.5,240086,254548.0
2023-03-01,446.7,229800,285350.0
2023-02-28,446.4,328793,290338.0
2023-02-27,447.2,250238,285553.0
2023-02-24,444.2,220330,283465.0
2023-02-23,442.4,241674,289977.0
2023-02-22,442.2,238679,307525.0
2023-02-21,440.8,215376,309553.0
2023-02-20,439.7,212377,312296.0
2023-02-17,440.5,289952,318616.0
2023-02-16,438.6,309289,314411.0
2023-02-15,440.5,226295,308963.0
2023-02-14,438.2,240098,312126.0
2023-02-13,437.2,239745,323148.0
2023-02-10,432.5,335484,326157.0
2023-02-09,432.9,702125,324980.0
2023-02-08,445.0,304619,299276.0
2023-02-07,439.0,257009,296830.0
2023-02-06,439.5,218925,301320.0
2023-02-03,440.7,318005,304499.0
2023-02-02,438.6,504898,304774.0
2023-02-01,451.0,269100,293580.0
2023-01-31,452.2,256514,300561.0
2023-01-30,453.7,307186,305201.0
2023-01-27,452.2,226872,307233.0
2023-01-26,453.6,227576,307847.0
2023-01-25,453.9,273730,315216.0
2023-01-24,454.7,405437,317249.0
2023-01-23,443.0,284882,306369.0
2023-01-20,445.7,317819,300309.0
2023-01-19,439.8,316568,287706.0
2023-01-18,440.6,267935,277152.0
2023-01-17,441.2,324346,268074.0
2023-01-16,445.0,266616,255103.0
2023-01-13,444.9,322126,251825.0
2023-01-12,450.8,337000,243159.0
2023-01-11,449.4,373805,240489.0
2023-01-10,449.1,326124,231222.0
2023-01-09,449.8,337660,270727.0
2023-01-06,444.3,236088,274133.0
2023-01-05,440.8,338111,275828.0
2023-01-04,448.7,304223,273841.0
2023-01-03,449.3,242232,272921.0
2022-12-30,442.3,193976,279910.0
2022-12-29,448.4,128778,287669.0
2022-12-28,447.1,158264,298971.0
2022-12-27,448.8,131764,303296.0
2022-12-23,447.1,129780,310299.0
2022-12-22,445.1,217442,321677.0
2022-12-21,444.4,192138,326018.0
2022-12-20,435.3,296952,364331.0
2022-12-19,438.5,234794,359236.0
2022-12-16,438.5,918710,359584.0
2022-12-15,445.5,388748,311454.0
2022-12-14,451.7,261513,297383.0
2022-12-13,448.0,308301,293383.0
2022-12-12,450.5,290428,287116.0
2022-12-09,452.6,347058,291619.0
2022-12-08,450.9,310371,302906.0
2022-12-07,450.1,298307,305631.0
2022-12-06,451.9,223130,311355.0
2022-12-05,451.9,236813,312569.0
2022-12-02,450.0,300454,312622.0
2022-12-01,453.7,282547,319568.0
2022-11-30,452.9,766837,328444.0
2022-11-29,452.0,220527,287993.0
2022-11-28,451.9,240015,287542.0
2022-11-25,450.9,196765,287956.0
2022-11-24,449.1,177676,293010.0
2022-11-23,447.9,201516,294279.0
2022-11-22,447.5,214297,293544.0
2022-11-21,445.4,357969,291478.0
2022-11-18,441.8,516360,282353.0
2022-11-17,437.8,351250,259770.0
2022-11-16,433.3,384172,249604.0
2022-11-15,424.6,241331,237214.0
2022-11-14,426.6,237614,237617.0
2022-11-11,423.8,404648,239670.0
2022-11-10,431.8,415681,242441.0
2022-11-09,436.2,160080,230635.0
2022-11-08,434.1,213750,238489.0
2022-11-07,431.3,246224,238593.0
2022-11-04,429.5,272577,236044.0
2022-11-03,428.9,196718,236889.0
2022-11-02,427.4,190496,240942.0
2022-11-01,425.2,183294,242241.0
2022-10-31,427.3,221097,244354.0
2022-10-28,423.7,177618,245737.0
2022-10-27,423.4,198763,245667.0
2022-10-26,421.1,198319,245408.0
2022-10-25,420.4,247369,242530.0
