Date,Last Price,Volume,SMAVG (15)
2022-11-21,114.5,654257,1053277.0
2022-11-18,116.25,976696,1066179.0
2022-11-17,114.65,813167,1070916.0
2022-11-16,114.6,943655,1066203.0
2022-11-15,116.7,914783,1061112.0
2022-11-14,116.95,1238935,1065481.0
2022-11-11,118.3,2830184,1053284.0
2022-11-10,107.1,1160201,942844.0
2022-11-09,103.75,633220,926541.0
2022-11-08,103.1,776379,941652.0
2022-11-07,103.6,847471,946018.0
2022-11-04,104.3,1474196,946875.0
2022-11-03,97.7,675679,916936.0
2022-11-02,99.16,937031,958479.0
2022-11-01,101.1,923306,963162.0
2022-10-31,97.94,847782,971287.0
2022-10-28,97.78,1047745,966723.0
2022-10-27,101.5,742476,953428.0
2022-10-26,103.5,867291,953285.0
2022-10-25,103.1,980317,959152.0
2022-10-24,100.65,1055985,972006.0
2022-10-21,100.45,1173583,993704.0
2022-10-20,102.3,915654,1031459.0
2022-10-19,100.0,859885,1071711.0
2022-10-18,102.25,841873,1102928.0
2022-10-17,100.7,860317,1138573.0
2022-10-14,97.92,1025112,1148832.0
2022-10-13,97.22,1298832,1164525.0
2022-10-12,97.4,1007275,1166973.0
2022-10-11,95.54,1045177,1189365.0
2022-10-10,96.54,779319,1182369.0
2022-10-07,97.92,848317,1186867.0
2022-10-06,99.74,740344,1326016.0
2022-10-05,99.94,955283,1335327.0
2022-10-04,101.4,1173135,1330988.0
2022-10-03,96.16,1381452,1316161.0
2022-09-30,94.28,1739913,1288614.0
2022-09-29,92.92,1519428,1227458.0
2022-09-28,96.4,1328145,1196435.0
2022-09-27,96.64,1376540,1159308.0
2022-09-26,96.56,1014211,1105259.0
2022-09-23,96.18,1260504,1074249.0
2022-09-22,97.54,1335558,1049802.0
2022-09-21,100.15,1343147,1041414.0
2022-09-20,101.8,940243,1031030.0
2022-09-19,101.45,846791,1005200.0
2022-09-16,100.05,2935545,989853.0
2022-09-15,103.65,880014,855873.0
2022-09-14,106.0,890196,844615.0
2022-09-13,106.45,950720,869019.0
2022-09-12,108.2,968258,847564.0
2022-09-09,107.05,822571,834079.0
2022-09-08,103.9,1054084,858742.0
2022-09-07,106.95,771232,848521.0
2022-09-06,106.45,565816,845917.0
2022-09-05,105.95,549050,857884.0
2022-09-02,107.55,893804,845355.0
2022-09-01,104.95,1209746,824030.0
2022-08-31,109.85,1187378,794944.0
2022-08-30,110.95,552801,770126.0
2022-08-29,111.1,616578,784277.0
2022-08-26,111.4,925850,784742.0
2022-08-25,115.1,711144,771715.0
2022-08-24,113.9,1256255,806391.0
2022-08-23,110.0,628899,779517.0
2022-08-22,109.1,765980,824892.0
2022-08-19,112.1,1192513,856595.0
2022-08-18,112.85,900767,854267.0
2022-08-17,112.05,732177,851201.0
2022-08-16,112.05,745322,860197.0
2022-08-15,114.7,361104,873309.0
2022-08-12,114.6,573933,896253.0
2022-08-11,115.6,773452,927298.0
