"Date","Price","Open","High","Low","Change %"
"03/20/2024","1.128","1.211","1.211","1.120","-3.26%"
"03/19/2024","1.166","1.249","1.249","1.159","-1.35%"
"03/18/2024","1.182","1.197","1.197","1.152","-3.11%"
"03/15/2024","1.220","1.108","1.220","1.108","10.81%"
"03/14/2024","1.101","1.108","1.108","1.101","-0.90%"
"03/13/2024","1.111","1.111","1.111","1.111","-0.09%"
"03/12/2024","1.112","1.141","1.148","1.112","-3.22%"
"03/11/2024","1.149","1.135","1.149","1.112","2.59%"
"03/08/2024","1.120","1.194","1.194","1.076","-0.09%"
"03/07/2024","1.121","1.151","1.158","1.092","-4.60%"
"03/06/2024","1.175","1.131","1.175","1.102","5.86%"
"03/05/2024","1.110","1.132","1.132","1.088","1.28%"
"03/04/2024","1.096","1.147","1.169","1.089","-0.72%"
"03/01/2024","1.104","1.097","1.133","1.082","-1.34%"
"02/29/2024","1.119","1.155","1.206","1.112","-3.28%"
"02/28/2024","1.157","1.165","1.194","1.150","-0.69%"
"02/27/2024","1.165","1.194","1.194","1.144","1.75%"
"02/26/2024","1.145","1.159","1.159","1.116","2.51%"
"02/23/2024","1.117","1.153","1.196","1.110","-2.53%"
"02/22/2024","1.146","1.132","1.196","1.132","0.44%"
"02/21/2024","1.141","1.127","1.148","1.106","3.73%"
"02/20/2024","1.100","1.163","1.163","1.100","-5.50%"
"02/19/2024","1.164","1.178","1.178","1.136","1.13%"
"02/16/2024","1.151","1.143","1.186","1.115","3.14%"
"02/15/2024","1.116","1.137","1.137","1.081","-2.62%"
"02/14/2024","1.146","1.153","1.174","1.083","4.37%"
"02/13/2024","1.098","1.203","1.203","1.077","-7.11%"
"02/12/2024","1.182","1.252","1.252","1.182","-3.51%"
"02/09/2024","1.225","1.232","1.239","1.197","1.07%"
"02/08/2024","1.212","1.232","1.232","1.163","4.03%"
"02/07/2024","1.165","1.185","1.213","1.151","-1.77%"
"02/06/2024","1.186","1.193","1.214","1.172","0.51%"
"02/05/2024","1.180","1.125","1.207","1.118","6.79%"
"02/02/2024","1.105","1.070","1.146","1.070","3.17%"
"02/01/2024","1.071","1.092","1.126","1.057","-0.28%"
"01/31/2024","1.074","1.094","1.108","1.067","-2.54%"
"01/30/2024","1.102","1.129","1.191","1.061","2.51%"
"01/29/2024","1.075","1.129","1.129","1.061","-3.07%"
"01/26/2024","1.109","1.136","1.136","1.095","-1.25%"
"01/25/2024","1.123","1.191","1.191","1.123","-4.26%"
"01/24/2024","1.173","1.173","1.186","1.152","0.60%"
"01/23/2024","1.166","1.153","1.166","1.153","1.66%"
"01/22/2024","1.147","1.174","1.181","1.133","1.15%"
"01/19/2024","1.134","1.121","1.154","1.101","0.53%"
"01/18/2024","1.128","1.155","1.162","1.108","-21.17%"
"01/17/2024","1.431","1.163","1.183","1.084","30.33%"
"01/16/2024","1.098","1.151","1.151","1.044","0.00%"
"01/15/2024","1.098","1.145","1.158","1.098","-1.88%"
"01/12/2024","1.119","1.179","1.179","1.086","-3.45%"
"01/11/2024","1.159","1.259","1.259","1.153","-1.28%"
"01/10/2024","1.174","1.201","1.214","1.161","-1.18%"
"01/09/2024","1.188","1.234","1.234","1.142","1.11%"
"01/08/2024","1.175","1.248","1.261","1.175","-0.68%"
"01/05/2024","1.183","1.209","1.255","1.169","0.51%"
"01/04/2024","1.177","1.137","1.183","1.105","4.53%"
"01/03/2024","1.126","1.133","1.133","1.107","2.27%"
"12/29/2023","1.101","1.146","1.146","1.082","1.10%"
"12/28/2023","1.089","1.121","1.134","1.089","-1.98%"
"12/27/2023","1.111","1.117","1.130","1.105","-0.09%"
"12/22/2023","1.112","1.144","1.144","1.092","0.00%"
"12/21/2023","1.112","1.176","1.176","1.087","2.02%"
"12/20/2023","1.090","1.116","1.116","1.052","2.25%"
"12/19/2023","1.066","1.116","1.116","1.028","-0.65%"
"12/18/2023","1.073","1.035","1.117","1.028","4.89%"
"12/15/2023","1.023","1.092","1.099","1.004","-1.92%"
"12/14/2023","1.043","1.055","1.118","0.986","-6.88%"
"12/13/2023","1.120","1.189","1.189","1.114","-1.75%"
"12/12/2023","1.140","1.190","1.196","1.115","0.00%"
"12/11/2023","1.140","1.122","1.178","1.115","-2.23%"
"12/08/2023","1.166","1.122","1.178","1.122","3.83%"
"12/07/2023","1.123","1.148","1.154","1.110","0.45%"
"12/06/2023","1.118","1.150","1.150","1.106","0.45%"
"12/05/2023","1.113","1.125","1.125","1.070","-1.68%"
"12/04/2023","1.132","1.194","1.194","1.046","-0.09%"
"12/01/2023","1.133","1.244","1.244","1.127","-12.85%"
"11/30/2023","1.300","1.306","1.306","1.232","2.36%"
"11/29/2023","1.270","1.301","1.301","1.264","-2.38%"
"11/28/2023","1.301","1.308","1.357","1.295","-5.86%"
"11/27/2023","1.382","1.412","1.424","1.314","-0.43%"
"11/24/2023","1.388","1.634","1.634","1.363","1.83%"
"11/23/2023","1.363","1.357","1.370","1.327","2.17%"
"11/22/2023","1.334","1.364","1.364","1.309","0.00%"
"11/21/2023","1.334","1.334","1.340","1.316","-0.97%"
"11/20/2023","1.347","1.352","1.352","1.322","0.90%"
"11/17/2023","1.335","1.377","1.377","1.304","-0.89%"
"11/16/2023","1.347","1.341","1.353","1.329","-0.07%"
"11/15/2023","1.348","1.348","1.366","1.318","0.00%"
"11/14/2023","1.348","1.348","1.384","1.300","-3.02%"
"11/13/2023","1.390","1.342","1.390","1.330","3.04%"
"11/10/2023","1.349","1.331","1.396","1.319","0.45%"
"11/09/2023","1.343","1.361","1.367","1.325","2.21%"
"11/08/2023","1.314","1.344","1.361","1.308","-1.79%"
"11/07/2023","1.338","1.368","1.385","1.302","0.90%"
"11/06/2023","1.326","1.291","1.356","1.291","-0.90%"
"11/03/2023","1.338","1.362","1.380","1.262","-1.76%"
"11/02/2023","1.362","1.297","1.362","1.256","4.45%"
"11/01/2023","1.304","1.334","1.334","1.275","0.00%"
"10/31/2023","1.304","1.281","1.304","1.222","1.32%"
"10/30/2023","1.287","1.240","1.293","1.194","4.72%"
"10/27/2023","1.229","1.229","1.258","1.223","-0.49%"
"10/26/2023","1.235","1.253","1.264","1.229","-2.37%"
